Store,Store Number,Address,State,City,Date,Latitude,Longitude
Supercenter,1891,420 BUCKLAND HILLS DR,CT,MANCHESTER,6/6/2015,41.807778,-72.538445
Supercenter,2103,550 PROVIDENCE HWY,MA,WALPOLE,6/6/2015,42.1405,-71.2183
Supercenter,2021,36 PARAMOUNT DRIVE,MA,RAYNHAM,6/6/2015,41.905015,-71.035305
Supercenter,2142,326 N BROADWAY,NH,SALEM,6/6/2015,42.799585,-71.239865
Supercenter,2964,11 JUNGLE ROAD,MA,LEOMINSTER,6/6/2015,42.492168,-71.727797
Supercenter,3409,20 SOOJIANS DR,MA,LEICESTER,6/6/2015,42.247849,-71.942457
Supercenter,1980,625 SCHOOL STREET,CT,PUTNAM,6/6/2015,41.924367,-71.888917
Supercenter,1984,830 CURRAN MEMORIAL HWY,MA,NORTH ADAMS,6/6/2015,42.666618,-73.108024
Supercenter,1788,500 GALLERY BLVD.,ME,SCARBOROUGH,6/6/2015,43.62479,-70.342613
Supercenter,5439,315 FOXON BLVD,CT,NEW HAVEN,6/6/2015,41.321342,-72.875642
Supercenter,2366,1470 S WASHINGTON ST,MA,NORTH ATTLEBORO,6/6/2015,41.93642,-71.350139
Supercenter,1753,11 ASHLEIGH DRIVE,NH,DERRY,6/6/2015,42.898026,-71.331102
Supercenter,1749,59 WALTONS WAY,NH,SOMERSWORTH,6/6/2015,43.233953,-70.881092
Supercenter,1954,1930 MAIN STREET,ME,SANFORD,6/6/2015,43.399139,-70.700926
Supercenter,1967,1105 BOSTON ROAD,MA,SPRINGFIELD,6/6/2015,42.138635,-72.508242
Supercenter,2953,262 SWANSEA MALL DRIVE,MA,SWANSEA,6/6/2015,41.7556,-71.21999
Supercenter,1698,3 COMMERCE DR,NH,HOOKSETT,6/6/2015,43.038957,-71.473729
Supercenter,2130,2460 LAFAYETTE ROAD,NH,PORTSMOUTH,6/6/2015,43.033251,-70.783951
Supercenter,5095,495 FLATBUSH AVE,CT,HARTFORD,6/7/2015,41.742466,-72.711667
Supercenter,2330,116 FARMINGTON ROAD,NH,ROCHESTER,6/7/2015,43.338634,-71.015161
Supercenter,5278,591 MEMORIAL DRIVE,MA,CHICOPEE,6/7/2015,42.173904,-72.576155
Supercenter,3535,35 FRESH RIVER ROAD,NH,EPPING,6/7/2015,43.030235,-71.070539
Supercenter,3560,638 QUEQUECHAN STREET,MA,FALL RIVER (S),6/7/2015,41.687003,-71.141495
Supercenter,2639,1458 LAKE SHORE ROAD,NH,GILFORD,6/7/2015,43.566785,-71.438437
Supercenter,5448,160 BROADWAY,MA,RAYNHAM,6/7/2015,41.934244,-71.082937
Supercenter,5777,450 PROVIDENCE ROAD,CT,BROOKLYN,6/7/2015,41.797302,-71.911606
Supercenter,2012,742 MAIN STREET,MA,NORTH OXFORD,6/7/2015,42.173,-71.879
Supercenter,2153,525 ALFRED STREET,ME,BIDDEFORD,6/7/2015,43.476357,-70.498368
Supercenter,2222,333 MAIN STREET,MA,TEWKSBURY,6/7/2015,42.621115,-71.261891
Supercenter,2122,30 MEMORIAL DRIVE,MA,AVON,6/7/2015,42.121902,-71.033098
Supercenter,1873,1776 PLAINFIELD PIKE,RI,CRANSTON,6/7/2015,41.790308,-71.498867
Supercenter,1762,700 LAFAYETTE ROAD UNIT #1,NH,SEABROOK,6/7/2015,42.893851,-70.868374
Supercenter,2157,506 STATE ROAD,MA,NORTH DARTMOUTH,6/7/2015,41.641977,-71.007804
Supercenter,2158,200 OTIS STREET,MA,NORTHBOROUGH,6/7/2015,42.286,-71.655352
Supercenter,1796,85 ROUTE 101A,NH,AMHERST,6/7/2015,42.811234,-71.580396
Supercenter,4387,25 Tobias Boland Way,MA,WORCESTER,6/7/2015,42.232255,-71.790376
